galaxy,model,chi2,dof,chi2_red,Yd,Yb,n_data,has_bulge
NGC2403,Holographic,92.8994,72,1.2903,0.6021,0.0000,73,False
NGC2683,Holographic,13.6874,9,1.5208,0.4359,1.4287,11,True
NGC2841,Holographic,22.3211,48,0.4650,1.2034,0.8694,50,True
NGC2903,Holographic,266.9484,33,8.0893,0.4423,0.0000,34,False
NGC2915,Holographic,95.9159,29,3.3074,2.0730,0.0000,30,False
NGC2955,Holographic,27.8516,22,1.2660,0.3353,0.7894,24,True
NGC2976,Holographic,31.4316,26,1.2089,0.4047,0.0000,27,False
NGC2998,Holographic,38.1442,12,3.1787,0.5438,0.0000,13,False
NGC3109,Holographic,82.6625,24,3.4443,0.8995,0.0000,25,False
NGC3198,Holographic,33.5177,42,0.7980,0.4958,0.0000,43,False
NGC3521,Holographic,15.5824,40,0.3896,0.5437,0.0000,41,False
NGC3726,Holographic,14.1757,11,1.2887,0.3039,0.0000,12,False
NGC3741,Holographic,41.4619,20,2.0731,0.4443,0.0000,21,False
NGC3769,Holographic,6.4369,11,0.5852,0.3495,0.0000,12,False
NGC3877,Holographic,64.5144,12,5.3762,0.4196,0.0000,13,False
NGC3893,Holographic,7.8592,9,0.8732,0.5369,0.0000,10,False
NGC3917,Holographic,37.2243,16,2.3265,0.5583,0.0000,17,False
NGC3949,Holographic,1.8605,6,0.3101,0.4403,0.0000,7,False
NGC3953,Holographic,6.9854,7,0.9979,0.5376,0.0000,8,False
NGC3972,Holographic,11.2453,9,1.2495,0.6260,0.0000,10,False
NGC3992,Holographic,7.2121,8,0.9015,0.6716,0.0000,9,False
NGC4010,Holographic,20.9665,11,1.9060,0.4046,0.0000,12,False
NGC4013,Holographic,22.5988,34,0.6647,0.1234,2.0635,36,True
NGC4051,Holographic,9.9100,6,1.6517,0.3494,0.0000,7,False
NGC4068,Holographic,2.7186,5,0.5437,0.0100,0.0000,6,False
NGC4085,Holographic,24.5067,6,4.0845,0.3359,0.0000,7,False
NGC4088,Holographic,6.4846,11,0.5895,0.2556,0.0000,12,False
NGC4100,Holographic,23.9846,23,1.0428,0.6029,0.0000,24,False
NGC4138,Holographic,4.4065,5,0.8813,0.7383,0.0100,7,True
NGC4157,Holographic,5.1311,15,0.3421,0.3834,0.0100,17,True
NGC4183,Holographic,44.7345,22,2.0334,0.4483,0.0000,23,False
NGC4214,Holographic,18.0586,13,1.3891,1.0926,0.0000,14,False
NGC4217,Holographic,21.5395,17,1.2670,1.6045,0.1253,19,True
NGC4389,Holographic,18.7089,5,3.7418,0.1079,0.0000,6,False
NGC4559,Holographic,32.5725,31,1.0507,0.2917,0.0000,32,False
NGC5005,Holographic,0.9623,16,0.0601,0.5672,0.4902,18,True
NGC5033,Holographic,17.7141,20,0.8857,0.6841,0.3701,22,True
NGC5055,Holographic,17.6732,27,0.6546,0.3531,0.0000,28,False
NGC5371,Holographic,156.3217,18,8.6845,0.3621,0.0000,19,False
NGC5585,Holographic,72.2475,23,3.1412,0.2944,0.0000,24,False
NGC5907,Holographic,48.1465,18,2.6748,0.5336,0.0000,19,False
NGC5985,Holographic,39.6107,31,1.2778,1.0061,3.5422,33,True
NGC6015,Holographic,82.8761,43,1.9274,0.6730,0.0000,44,False
NGC6195,Holographic,9.5454,21,0.4545,0.2398,0.6624,23,True
NGC6503,Holographic,14.0112,30,0.4670,0.5287,0.0000,31,False
NGC6674,Holographic,10.8236,13,0.8326,0.4688,3.7601,15,True
NGC6946,Holographic,19.7833,56,0.3533,0.4200,0.4997,58,True
NGC7331,Holographic,9.7582,34,0.2870,0.4299,0.0100,36,True
NGC7793,Holographic,35.3982,45,0.7866,0.4992,0.0000,46,False
NGC7814,Holographic,6.5918,16,0.4120,1.6530,0.5257,18,True
PGC51017,Holographic,304.0424,5,60.8085,0.0100,0.0000,6,False
UGC00128,Holographic,60.1836,21,2.8659,0.6955,0.0000,22,False
UGC00191,Holographic,21.9214,8,2.7402,0.6568,0.0000,9,False
UGC00731,Holographic,85.5910,11,7.7810,1.9478,0.0000,12,False
UGC00891,Holographic,4.3904,4,1.0976,0.0100,0.0000,5,False
UGC01230,Holographic,34.8359,10,3.4836,0.6440,0.0000,11,False
UGC01281,Holographic,15.0917,24,0.6288,0.4481,0.0000,25,False
UGC02023,Holographic,1.0962,4,0.2740,0.0904,0.0000,5,False
UGC02259,Holographic,17.0742,7,2.4392,1.3235,0.0000,8,False
UGC02455,Holographic,16.5977,7,2.3711,0.0100,0.0000,8,False
UGC02487,Holographic,2.8449,15,0.1897,1.0078,1.2324,17,True
UGC02885,Holographic,7.2863,17,0.4286,0.5529,1.0097,19,True
UGC02916,Holographic,83.4898,41,2.0363,0.4596,0.5490,43,True
UGC02953,Holographic,133.1652,113,1.1785,0.7314,0.6605,115,True
UGC03205,Holographic,66.8887,46,1.4541,0.6703,0.9319,48,True
UGC03546,Holographic,4.1814,28,0.1493,0.5459,0.4410,30,True
UGC03580,Holographic,48.2942,45,1.0732,0.4054,0.0789,47,True
UGC04278,Holographic,59.1810,24,2.4659,0.7549,0.0000,25,False
UGC04305,Holographic,646.2315,21,30.7729,0.0100,0.0000,22,False
UGC04325,Holographic,25.4287,7,3.6327,1.3884,0.0000,8,False
UGC04483,Holographic,13.7950,7,1.9707,0.0100,0.0000,8,False
UGC04499,Holographic,12.5318,8,1.5665,0.2938,0.0000,9,False
UGC05005,Holographic,3.4420,10,0.3442,0.1431,0.0000,11,False
UGC05253,Holographic,40.1544,71,0.5656,0.5774,0.7005,73,True
UGC05414,Holographic,0.6185,5,0.1237,0.1985,0.0000,6,False
UGC05716,Holographic,16.7078,11,1.5189,0.7359,0.0000,12,False
UGC05721,Holographic,68.3577,22,3.1072,1.6830,0.0000,23,False
UGC05750,Holographic,9.4417,10,0.9442,0.1721,0.0000,11,False
UGC05764,Holographic,26.1887,9,2.9099,3.0164,0.0000,10,False
UGC05829,Holographic,19.1634,10,1.9163,0.3572,0.0000,11,False
UGC05918,Holographic,6.6777,7,0.9540,0.4460,0.0000,8,False
UGC05986,Holographic,53.3004,14,3.8072,0.8849,0.0000,15,False
UGC05999,Holographic,12.7471,4,3.1868,0.2640,0.0000,5,False
UGC06399,Holographic,2.6385,8,0.3298,0.7083,0.0000,9,False
UGC06446,Holographic,9.8298,16,0.6144,1.2434,0.0000,17,False
UGC06614,Holographic,6.4309,11,0.5846,0.4585,0.3867,13,True
UGC06628,Holographic,31.6042,6,5.2674,0.0343,0.0000,7,False
UGC06667,Holographic,14.5973,8,1.8247,3.2233,0.0000,9,False
UGC06786,Holographic,48.2939,43,1.1231,1.0515,0.6884,45,True
UGC06787,Holographic,117.4871,69,1.7027,1.4211,0.5622,71,True
UGC06818,Holographic,20.6572,7,2.9510,0.1926,0.0000,8,False
